Car_Name,Brand,Year,Car_Age,Kms_Driven,Fuel_Type,Transmission,Owner,Engine,Power,Efficiency,Seats,Location,Seller_Type,Present_Price,Selling_Price
Nexon EV,Tata,2024,0,5785,Electric,Automatic,1,0,143.0,223.5,5,Bangalore,Individual,17.67,15.9
Tiago,Tata,2020,4,66237,Petrol,Automatic,1,1199,87.0,19.2,5,Hyderabad,Individual,5.84,3.97
Punch,Tata,2022,2,26401,Petrol,Automatic,0,1199,89.6,21.5,5,Ahmedabad,Dealer,8.18,7.11
Tigor,Tata,2018,6,62946,Petrol,Manual,1,1199,88.2,18.3,5,Ahmedabad,Dealer,8.88,4.89
Nexon EV,Tata,2020,4,23827,Electric,Automatic,0,0,138.0,308.3,5,Mumbai,Individual,16.62,13.24
Nexon EV,Tata,2024,0,8921,Electric,Automatic,0,0,142.1,285.0,5,Mumbai,Individual,14.73,13.26
Tigor,Tata,2023,1,15165,Petrol,Manual,1,1199,85.5,15.1,5,Delhi,Individual,9.83,8.25
Nexon,Tata,2023,1,23365,Petrol,Manual,1,1474,116.5,15.3,5,Mumbai,Dealer,12.19,10.55
Tiago,Tata,2024,0,7996,CNG,Manual,0,1199,87.6,23.7,5,Delhi,Individual,8.12,7.31
Altroz,Tata,2023,1,21750,Diesel,Manual,0,1448,97.2,18.2,5,Mumbai,Dealer,9.51,8.56
Tiago,Tata,2023,1,7832,CNG,Manual,0,1199,89.8,22.9,5,Pune,Dealer,8.01,7.21
Tiago,Tata,2017,7,55883,Petrol,Manual,0,1199,91.2,17.4,5,Mumbai,Individual,8.21,4.65
Tiago,Tata,2020,4,72996,Petrol,Automatic,1,1199,86.9,21.5,5,Hyderabad,Dealer,6.34,4.1
Punch,Tata,2023,1,26468,Petrol,Automatic,0,1199,88.1,14.8,5,Chennai,Individual,10.49,9.44
Indica,Tata,2009,15,92652,Diesel,Manual,0,1309,70.1,19.1,5,Mumbai,Individual,3.79,1.52
Tigor,Tata,2023,1,21399,Petrol,Automatic,2,1199,85.7,21.6,5,Hyderabad,Dealer,9.28,7.09
Nano,Tata,2012,12,111942,Petrol,Manual,0,684,37.8,18.1,4,Chennai,Dealer,1.84,0.74
Harrier,Tata,2024,0,2027,Diesel,Automatic,1,1956,166.6,20.1,5,Chennai,Individual,21.09,18.98
Punch,Tata,2024,0,11554,Petrol,Automatic,0,1199,86.4,14.8,5,Ahmedabad,Individual,6.77,6.09
Tiago,Tata,2017,7,117078,CNG,Manual,0,1199,90.9,25.2,5,Delhi,Individual,6.15,3.17
Harrier,Tata,2019,5,50070,Diesel,Automatic,2,1956,165.9,23.0,5,Bangalore,Individual,14.3,8.36
Punch,Tata,2024,0,12334,Petrol,Manual,1,1199,87.9,14.4,5,Ahmedabad,Dealer,8.88,7.99
Indica,Tata,2010,14,168785,Diesel,Manual,1,1388,69.5,24.1,5,Mumbai,Individual,5.41,2.16
Punch,Tata,2023,1,10817,Petrol,Manual,0,1199,88.4,19.8,5,Delhi,Dealer,10.43,9.39
Nexon,Tata,2018,6,67564,Petrol,Automatic,0,1223,126.2,16.9,5,Mumbai,Dealer,11.78,7.35
Nexon EV,Tata,2022,2,37096,Electric,Automatic,2,0,143.8,219.5,5,Pune,Individual,17.68,13.36
Nexon EV,Tata,2024,0,2276,Electric,Automatic,0,0,146.2,239.5,5,Mumbai,Individual,18.43,16.59
Tigor,Tata,2017,7,65734,CNG,Manual,2,1199,86.9,29.7,5,Hyderabad,Dealer,9.63,4.62
Safari,Tata,2022,2,31030,Diesel,Automatic,1,1956,169.0,26.5,6,Bangalore,Individual,23.95,20.12
Punch,Tata,2023,1,7990,Petrol,Manual,0,1199,84.8,16.9,5,Bangalore,Dealer,10.19,9.17
Tigor,Tata,2018,6,119996,Petrol,Manual,2,1199,89.4,21.7,5,Hyderabad,Dealer,9.42,4.43
Punch,Tata,2022,2,48462,Petrol,Manual,2,1199,86.2,19.6,5,Ahmedabad,Dealer,10.26,7.17
Altroz,Tata,2020,4,79056,Petrol,Manual,2,1370,96.0,16.9,5,Mumbai,Individual,11.38,6.75
Tiago,Tata,2023,1,14070,Petrol,Automatic,0,1199,88.9,15.7,5,Chennai,Dealer,5.02,4.52
Harrier,Tata,2019,5,43853,Diesel,Automatic,0,1956,167.7,24.1,5,Bangalore,Individual,14.8,10.49
Safari,Tata,2023,1,11848,Diesel,Manual,0,1956,170.7,19.7,6,Delhi,Dealer,22.82,20.54
Nexon EV,Tata,2020,4,17983,Electric,Automatic,0,0,135.1,265.5,5,Delhi,Individual,17.97,14.56
Punch,Tata,2024,0,2675,Petrol,Automatic,1,1199,86.9,18.5,5,Delhi,Dealer,8.5,7.65
Nexon,Tata,2022,2,20176,Petrol,Manual,2,1344,122.6,14.1,5,Pune,Individual,9.89,7.32
Harrier,Tata,2024,0,1644,Diesel,Automatic,1,1956,169.0,22.2,5,Chennai,Dealer,19.45,17.5
Indica,Tata,2016,8,134562,CNG,Manual,1,1283,66.3,28.8,5,Pune,Dealer,4.22,1.75
Altroz,Tata,2022,2,43093,Diesel,Manual,0,1290,102.6,25.8,5,Bangalore,Dealer,9.3,8.18
Nexon,Tata,2022,2,50586,Diesel,Automatic,0,1388,117.9,19.5,5,Mumbai,Individual,8.83,7.89
Safari,Tata,2021,3,26644,Diesel,Manual,1,1956,166.1,24.4,7,Mumbai,Dealer,19.78,15.11
Nexon,Tata,2020,4,40131,Petrol,Manual,2,1448,128.7,20.7,5,Bangalore,Dealer,14.18,8.78
Nexon,Tata,2023,1,4027,Diesel,Manual,2,1367,127.2,25.0,5,Pune,Individual,11.89,9.92
Tiago,Tata,2020,4,28448,Petrol,Manual,0,1199,88.6,18.6,5,Chennai,Dealer,6.7,5.16
Tigor,Tata,2022,2,11238,CNG,Manual,1,1199,84.6,29.5,5,Bangalore,Dealer,8.28,6.72
Tiago,Tata,2016,8,115497,CNG,Manual,1,1199,86.5,26.8,5,Mumbai,Dealer,5.24,2.2
Altroz,Tata,2023,1,6708,Petrol,Automatic,2,1213,109.8,15.1,5,Mumbai,Dealer,9.95,7.84
Nexon,Tata,2023,1,17093,Diesel,Manual,0,1326,128.1,24.2,5,Bangalore,Dealer,10.44,9.4
Safari,Tata,2022,2,19027,Diesel,Manual,1,1956,173.3,19.6,6,Hyderabad,Individual,20.17,16.48
Nano,Tata,2010,14,107111,Petrol,Manual,1,795,37.2,17.4,4,Pune,Dealer,2.47,0.99
Altroz,Tata,2022,2,16925,Petrol,Automatic,0,1205,91.0,17.2,5,Delhi,Dealer,8.82,7.94
Indica,Tata,2012,12,183963,Diesel,Manual,1,1298,68.9,20.1,5,Ahmedabad,Dealer,5.97,2.39
Harrier,Tata,2019,5,48395,Diesel,Automatic,2,1956,168.6,19.3,5,Mumbai,Dealer,16.3,9.82
Nexon,Tata,2023,1,12298,Petrol,Manual,0,1395,125.3,20.9,5,Bangalore,Dealer,13.58,12.22
Nexon EV,Tata,2024,0,8172,Electric,Automatic,1,0,146.5,229.9,5,Mumbai,Dealer,16.79,15.11
Harrier,Tata,2024,0,1242,Diesel,Automatic,1,1956,173.0,22.3,5,Mumbai,Dealer,16.4,14.76
Tiago,Tata,2016,8,131019,CNG,Automatic,1,1199,89.3,26.1,5,Bangalore,Individual,5.61,2.46
Punch,Tata,2022,2,32876,Petrol,Automatic,1,1199,86.6,19.8,5,Hyderabad,Dealer,8.63,7.08
Punch,Tata,2023,1,22439,Petrol,Manual,0,1199,87.9,20.8,5,Delhi,Individual,7.73,6.96
Punch,Tata,2024,0,1313,Petrol,Manual,1,1199,91.5,20.9,5,Mumbai,Individual,6.51,5.86
Nexon,Tata,2019,5,58991,Petrol,Manual,3,1261,122.7,17.8,5,Hyderabad,Dealer,10.79,5.55
Nexon EV,Tata,2023,1,19026,Electric,Automatic,0,0,148.5,270.7,5,Mumbai,Dealer,14.32,12.89
Tigor,Tata,2018,6,80300,Petrol,Automatic,0,1199,89.5,18.8,5,Hyderabad,Individual,7.41,4.36
Tiago,Tata,2023,1,15737,Petrol,Manual,1,1199,90.4,15.7,5,Mumbai,Individual,6.17,5.3
Nexon,Tata,2017,7,56392,Petrol,Manual,2,1441,123.5,19.2,5,Ahmedabad,Dealer,12.55,5.97
Tigor,Tata,2021,3,64768,Petrol,Automatic,1,1199,86.0,17.0,5,Hyderabad,Dealer,8.94,6.38
Nexon EV,Tata,2024,0,7538,Electric,Automatic,2,0,140.5,272.9,5,Ahmedabad,Individual,19.85,17.79
Punch,Tata,2021,3,12464,Petrol,Automatic,1,1199,89.2,14.3,5,Chennai,Individual,7.23,5.55
Nexon,Tata,2022,2,31564,Petrol,Manual,1,1366,125.3,19.6,5,Bangalore,Individual,10.53,8.45
Altroz,Tata,2023,1,31996,Petrol,Automatic,1,1412,100.0,16.8,5,Ahmedabad,Dealer,8.24,6.79
Tiago,Tata,2016,8,147979,Petrol,Manual,1,1199,87.8,17.6,5,Delhi,Individual,6.37,2.57
Tigor,Tata,2017,7,53615,Petrol,Manual,1,1199,87.8,18.6,5,Mumbai,Dealer,6.91,3.57
Tiago,Tata,2019,5,22049,CNG,Manual,2,1199,87.5,27.0,5,Bangalore,Dealer,5.54,3.34
Tigor,Tata,2024,0,11156,Petrol,Automatic,1,1199,85.9,15.1,5,Chennai,Individual,6.17,5.55
Punch,Tata,2021,3,65015,Petrol,Manual,1,1199,90.5,21.8,5,Mumbai,Individual,8.87,6.08
Altroz,Tata,2022,2,19855,Diesel,Manual,0,1313,107.6,26.4,5,Chennai,Dealer,7.43,6.69
Nexon EV,Tata,2020,4,29454,Electric,Automatic,2,0,139.5,360.1,5,Mumbai,Dealer,17.39,11.97
Nexon,Tata,2018,6,96590,Diesel,Manual,1,1249,120.9,20.1,5,Chennai,Dealer,14.24,7.85
Nexon EV,Tata,2020,4,48457,Electric,Automatic,3,0,146.9,294.5,5,Mumbai,Dealer,15.72,9.35
Nexon EV,Tata,2024,0,9941,Electric,Automatic,0,0,130.9,372.5,5,Pune,Dealer,18.46,16.61
Punch,Tata,2021,3,22058,Petrol,Manual,0,1199,86.5,18.4,5,Bangalore,Dealer,9.65,7.77
Tigor,Tata,2023,1,23325,CNG,Manual,1,1199,89.3,27.6,5,Pune,Dealer,7.71,6.52
Safari,Tata,2023,1,4034,Diesel,Automatic,0,1956,171.6,23.3,7,Pune,Individual,24.05,21.64
Tiago,Tata,2021,3,54752,CNG,Automatic,3,1199,87.1,26.5,5,Delhi,Individual,8.3,5.1
Altroz,Tata,2023,1,23757,Petrol,Automatic,1,1247,101.3,21.3,5,Chennai,Dealer,9.76,8.39
Tiago,Tata,2023,1,31188,CNG,Automatic,2,1199,86.1,29.4,5,Pune,Dealer,5.02,3.8
Punch,Tata,2021,3,24897,Petrol,Manual,2,1199,89.3,16.2,5,Hyderabad,Individual,8.45,5.6
Nexon EV,Tata,2023,1,25167,Electric,Automatic,3,0,147.4,398.5,5,Ahmedabad,Dealer,17.05,12.86
Punch,Tata,2022,2,21744,Petrol,Manual,1,1199,86.3,14.1,5,Chennai,Individual,7.44,5.76
Punch,Tata,2021,3,23848,Petrol,Automatic,1,1199,90.1,20.8,5,Delhi,Individual,8.09,6.31
Altroz,Tata,2020,4,28215,Diesel,Automatic,1,1422,94.0,18.8,5,Delhi,Individual,9.06,6.68
Indica,Tata,2014,10,95319,Diesel,Manual,0,1243,71.1,21.6,5,Bangalore,Individual,4.26,1.7
Nexon,Tata,2023,1,26450,Diesel,Manual,1,1232,122.1,22.3,5,Hyderabad,Dealer,10.08,8.8
Nexon EV,Tata,2020,4,45909,Electric,Automatic,1,0,147.2,295.9,5,Hyderabad,Dealer,14.59,10.37
Nexon,Tata,2022,2,21023,Petrol,Automatic,2,1317,122.3,21.6,5,Pune,Individual,8.33,6.2
Harrier,Tata,2022,2,41413,Diesel,Automatic,0,1956,168.0,22.4,5,Ahmedabad,Individual,18.98,16.87
Tiago,Tata,2024,0,1206,Petrol,Manual,2,1199,90.4,19.8,5,Delhi,Dealer,7.84,6.48
Tiago,Tata,2018,6,119463,Petrol,Manual,1,1199,89.8,18.2,5,Delhi,Dealer,5.71,2.99
Harrier,Tata,2023,1,6683,Diesel,Automatic,2,1956,167.6,25.3,5,Chennai,Dealer,14.78,12.44
Nexon,Tata,2024,0,7790,Diesel,Automatic,2,1450,121.9,27.9,5,Delhi,Dealer,11.66,10.2
Punch,Tata,2023,1,7319,Petrol,Manual,2,1199,90.2,19.7,5,Bangalore,Dealer,7.66,5.93
Nexon EV,Tata,2024,0,9421,Electric,Automatic,1,0,136.9,318.5,5,Pune,Individual,17.0,15.3
Nexon EV,Tata,2021,3,36859,Electric,Automatic,0,0,145.8,200.3,5,Bangalore,Individual,19.27,16.1
Punch,Tata,2021,3,49451,Petrol,Automatic,0,1199,86.0,19.4,5,Hyderabad,Individual,8.03,6.42
Nexon,Tata,2024,0,14246,Diesel,Automatic,0,1438,121.9,23.7,5,Mumbai,Dealer,12.23,11.01
Tigor,Tata,2018,6,116315,CNG,Automatic,0,1199,90.2,26.3,5,Mumbai,Individual,8.93,5.03
Nexon,Tata,2024,0,10540,Petrol,Manual,0,1309,120.1,21.4,5,Hyderabad,Individual,11.27,10.14
Altroz,Tata,2020,4,24302,Petrol,Manual,1,1395,90.7,20.5,5,Mumbai,Individual,10.31,7.14
Nexon,Tata,2023,1,7628,Petrol,Automatic,0,1301,127.3,16.6,5,Ahmedabad,Individual,9.11,8.2
Nexon,Tata,2023,1,28225,Petrol,Automatic,1,1465,118.2,19.2,5,Hyderabad,Individual,12.23,10.36
Nexon,Tata,2017,7,122376,Diesel,Manual,1,1298,127.6,25.0,5,Pune,Dealer,14.35,6.86
Nexon,Tata,2020,4,70064,Petrol,Automatic,3,1451,126.0,14.1,5,Ahmedabad,Dealer,9.98,5.43
Indica,Tata,2020,4,67430,Petrol,Manual,2,1322,74.1,20.7,5,Hyderabad,Dealer,3.53,2.11
Tiago,Tata,2022,2,49641,CNG,Automatic,1,1199,88.7,22.1,5,Chennai,Dealer,6.9,5.44
Tigor,Tata,2022,2,23542,CNG,Automatic,1,1199,89.8,29.9,5,Pune,Dealer,6.88,5.56
Safari,Tata,2024,0,6684,Diesel,Automatic,0,1956,170.0,25.3,6,Mumbai,Dealer,17.48,15.73
Nexon,Tata,2018,6,53419,Petrol,Manual,3,1419,130.0,20.9,5,Bangalore,Individual,9.46,4.48
Tiago,Tata,2021,3,38204,Petrol,Manual,2,1199,87.8,14.4,5,Bangalore,Individual,6.49,4.34
Nexon,Tata,2023,1,22493,Petrol,Manual,1,1246,122.3,21.9,5,Chennai,Dealer,11.9,10.17
Harrier,Tata,2023,1,18924,Diesel,Automatic,2,1956,164.2,26.6,5,Mumbai,Dealer,18.45,14.55
Harrier,Tata,2019,5,24532,Diesel,Automatic,1,1956,166.7,20.5,5,Delhi,Dealer,16.56,11.32
Tiago,Tata,2019,5,73184,CNG,Manual,0,1199,89.9,24.6,5,Pune,Individual,7.23,4.76
Safari,Tata,2023,1,8291,Diesel,Automatic,0,1956,172.5,26.0,6,Hyderabad,Individual,22.53,20.28
Tigor,Tata,2022,2,34158,Petrol,Manual,0,1199,87.7,18.5,5,Pune,Dealer,6.72,5.7
Tiago,Tata,2021,3,20812,Petrol,Automatic,2,1199,90.1,21.7,5,Hyderabad,Dealer,7.31,5.11
Nexon,Tata,2018,6,69984,Petrol,Automatic,1,1428,131.3,20.9,5,Mumbai,Dealer,9.12,5.03
Nano,Tata,2011,13,78845,Petrol,Manual,0,678,38.5,20.9,4,Hyderabad,Dealer,2.68,1.07
Nexon EV,Tata,2024,0,12142,Electric,Automatic,1,0,138.3,269.1,5,Hyderabad,Individual,17.69,15.92
Tiago,Tata,2022,2,49809,Petrol,Manual,1,1199,87.4,19.4,5,Mumbai,Individual,5.95,4.4
Indica,Tata,2013,11,128786,Petrol,Manual,0,1207,76.9,21.9,5,Hyderabad,Dealer,3.28,1.31
Nexon EV,Tata,2020,4,68608,Electric,Automatic,2,0,135.6,354.3,5,Mumbai,Individual,17.86,11.62
Safari,Tata,2021,3,18227,Diesel,Automatic,1,1956,173.0,23.3,7,Ahmedabad,Individual,21.63,16.88
Nexon EV,Tata,2024,0,7811,Electric,Automatic,1,0,131.2,296.5,5,Bangalore,Dealer,19.03,17.13
Nexon EV,Tata,2020,4,76461,Electric,Automatic,2,0,142.1,259.2,5,Bangalore,Dealer,14.45,9.13
Safari,Tata,2022,2,42288,Diesel,Automatic,0,1956,166.7,21.0,7,Pune,Individual,17.29,14.96
Altroz,Tata,2024,0,10941,Diesel,Manual,1,1459,104.8,22.8,5,Bangalore,Individual,11.31,10.18
Altroz,Tata,2020,4,25904,Diesel,Automatic,3,1407,96.4,24.9,5,Delhi,Individual,11.32,6.83
Nexon,Tata,2021,3,44902,Petrol,Manual,1,1424,118.6,19.2,5,Chennai,Dealer,13.63,9.84
Nexon,Tata,2024,0,12946,Petrol,Automatic,0,1288,127.9,21.8,5,Pune,Dealer,14.82,13.34
Nexon,Tata,2023,1,29806,Diesel,Automatic,0,1225,123.7,21.4,5,Chennai,Dealer,8.61,7.75
Nexon,Tata,2017,7,127246,Diesel,Automatic,0,1305,117.5,19.0,5,Hyderabad,Individual,14.71,7.67
Nexon,Tata,2018,6,100529,Diesel,Manual,1,1235,125.7,22.4,5,Bangalore,Dealer,9.35,4.99
Tigor,Tata,2023,1,31439,CNG,Manual,0,1199,88.9,24.4,5,Mumbai,Dealer,8.42,7.58
Indica,Tata,2010,14,146875,Petrol,Manual,0,1360,73.0,21.3,5,Pune,Individual,3.95,1.58
Punch,Tata,2022,2,41037,Petrol,Manual,1,1199,87.7,16.4,5,Chennai,Dealer,7.73,6.14
Safari,Tata,2023,1,22742,Diesel,Automatic,3,1956,172.7,26.8,7,Chennai,Dealer,19.57,14.37
Nexon,Tata,2018,6,36182,Diesel,Manual,0,1409,127.0,23.6,5,Delhi,Dealer,12.97,8.44
Tiago,Tata,2023,1,18713,Petrol,Automatic,1,1199,87.2,21.7,5,Hyderabad,Individual,6.5,5.61
Indica,Tata,2018,6,106630,Petrol,Manual,3,1216,65.6,15.2,5,Ahmedabad,Dealer,4.58,1.96
Nexon,Tata,2019,5,41817,Petrol,Automatic,0,1425,121.6,15.6,5,Mumbai,Dealer,13.34,9.04
Nexon,Tata,2020,4,21055,Diesel,Automatic,2,1387,125.9,21.6,5,Chennai,Individual,14.27,9.26
Nexon,Tata,2023,1,26518,Diesel,Manual,1,1265,125.7,19.9,5,Hyderabad,Dealer,8.19,6.94
Tigor,Tata,2024,0,4915,Petrol,Automatic,1,1199,90.0,15.3,5,Pune,Individual,6.0,5.4
Punch,Tata,2021,3,13203,Petrol,Automatic,1,1199,88.0,21.9,5,Mumbai,Dealer,8.35,6.6
Nexon,Tata,2017,7,59949,Diesel,Manual,1,1467,127.0,18.4,5,Hyderabad,Dealer,12.89,6.99
Tiago,Tata,2023,1,15085,CNG,Automatic,1,1199,88.2,29.3,5,Chennai,Individual,7.03,6.03
Tiago,Tata,2019,5,91737,CNG,Manual,2,1199,89.4,22.7,5,Chennai,Individual,8.01,4.33
Punch,Tata,2021,3,62982,Petrol,Manual,0,1199,88.3,21.3,5,Delhi,Individual,8.84,6.6
Tigor,Tata,2019,5,75764,Petrol,Manual,1,1199,88.9,20.1,5,Delhi,Individual,9.64,5.71
Harrier,Tata,2021,3,59910,Diesel,Automatic,0,1956,169.9,27.9,5,Mumbai,Dealer,21.44,16.72
Tiago,Tata,2019,5,25096,CNG,Automatic,2,1199,86.1,26.2,5,Pune,Individual,5.32,3.1
Altroz,Tata,2024,0,7992,Diesel,Manual,1,1223,96.2,26.8,5,Ahmedabad,Dealer,11.13,10.02
Nexon EV,Tata,2024,0,6734,Electric,Automatic,1,0,151.2,316.6,5,Chennai,Individual,15.18,13.66
Nano,Tata,2012,12,115806,Petrol,Manual,0,651,38.4,17.2,4,Chennai,Dealer,1.81,0.72
Nexon,Tata,2021,3,61658,Petrol,Manual,0,1480,130.3,14.1,5,Delhi,Individual,11.42,8.88
Nano,Tata,2012,12,69478,Petrol,Manual,1,670,38.4,15.0,4,Mumbai,Individual,2.03,0.81
Harrier,Tata,2021,3,61562,Diesel,Automatic,1,1956,169.8,23.0,5,Mumbai,Individual,15.05,10.89
Tiago,Tata,2020,4,82974,CNG,Manual,3,1199,90.8,25.9,5,Bangalore,Dealer,8.45,4.53
Tiago,Tata,2024,0,6360,CNG,Manual,2,1199,90.4,29.0,5,Mumbai,Individual,5.64,4.75
Nexon,Tata,2018,6,45137,Petrol,Manual,1,1354,125.6,19.2,5,Chennai,Individual,14.29,8.35
Harrier,Tata,2021,3,57117,Diesel,Automatic,1,1956,174.4,25.3,5,Chennai,Dealer,20.89,15.4
Punch,Tata,2022,2,16519,Petrol,Automatic,0,1199,86.9,17.4,5,Bangalore,Dealer,10.43,9.1
Punch,Tata,2024,0,7147,Petrol,Automatic,1,1199,87.5,22.0,5,Mumbai,Individual,7.54,6.79
Nexon EV,Tata,2024,0,13304,Electric,Automatic,1,0,128.9,265.1,5,Chennai,Dealer,18.26,16.43
Punch,Tata,2024,0,8816,Petrol,Automatic,2,1199,89.8,14.8,5,Bangalore,Individual,6.59,5.45
Punch,Tata,2022,2,32607,Petrol,Automatic,1,1199,88.7,20.5,5,Pune,Individual,7.69,6.02
Tigor,Tata,2023,1,10845,CNG,Automatic,1,1199,87.1,27.9,5,Delhi,Dealer,9.22,7.96
Altroz,Tata,2022,2,19506,Petrol,Automatic,2,1401,110.3,18.6,5,Delhi,Individual,7.17,5.23
Altroz,Tata,2022,2,26024,Petrol,Automatic,1,1250,104.5,17.7,5,Hyderabad,Dealer,9.61,7.96
Nexon,Tata,2018,6,99930,Diesel,Automatic,1,1411,117.6,22.3,5,Ahmedabad,Individual,8.9,4.98
Nexon EV,Tata,2021,3,22288,Electric,Automatic,0,0,146.6,264.7,5,Mumbai,Individual,14.61,13.01
Nexon,Tata,2020,4,35115,Diesel,Automatic,1,1298,128.7,25.2,5,Ahmedabad,Individual,8.58,6.2
Nexon,Tata,2019,5,79025,Diesel,Manual,1,1359,127.2,25.4,5,Pune,Individual,9.52,5.75
Harrier,Tata,2020,4,59946,Diesel,Manual,0,1956,171.9,21.3,5,Bangalore,Individual,20.51,14.71
Harrier,Tata,2019,5,90738,Diesel,Automatic,2,1956,172.2,24.0,5,Hyderabad,Individual,16.24,9.24
Harrier,Tata,2022,2,21150,Diesel,Automatic,1,1956,167.1,22.2,5,Hyderabad,Dealer,21.37,17.33
Indica,Tata,2011,13,133283,Petrol,Manual,0,1284,72.8,18.1,5,Chennai,Dealer,4.24,1.7
Altroz,Tata,2022,2,50186,Diesel,Manual,0,1220,108.8,19.6,5,Mumbai,Individual,11.1,9.58
Nexon,Tata,2022,2,41902,Petrol,Manual,3,1283,126.6,19.9,5,Chennai,Individual,13.38,8.35
Punch,Tata,2024,0,6322,Petrol,Automatic,0,1199,86.0,19.6,5,Ahmedabad,Individual,7.71,6.94
Nexon,Tata,2017,7,125128,Diesel,Manual,3,1481,122.4,22.1,5,Pune,Dealer,9.8,3.92
Safari,Tata,2023,1,5500,Diesel,Automatic,2,1956,172.9,25.4,6,Mumbai,Individual,17.89,14.79
Tiago,Tata,2017,7,101437,CNG,Manual,2,1199,85.1,25.7,5,Delhi,Individual,5.53,2.46
Altroz,Tata,2021,3,41260,Petrol,Automatic,0,1258,95.9,16.6,5,Chennai,Individual,9.07,7.13
Safari,Tata,2024,0,8370,Diesel,Manual,2,1956,172.5,20.8,7,Chennai,Individual,22.49,19.09
Punch,Tata,2022,2,16945,Petrol,Manual,1,1199,90.3,17.5,5,Chennai,Dealer,7.51,6.17
Altroz,Tata,2022,2,36446,Diesel,Automatic,1,1233,90.2,27.7,5,Pune,Dealer,10.1,8.15
Harrier,Tata,2024,0,6937,Diesel,Automatic,3,1956,165.2,22.4,5,Hyderabad,Individual,17.32,13.44
Indica,Tata,2009,15,132321,CNG,Manual,1,1280,69.5,28.6,5,Pune,Individual,4.16,1.66
Tiago,Tata,2023,1,4442,CNG,Automatic,0,1199,86.0,22.0,5,Pune,Individual,5.27,4.74
Tiago,Tata,2019,5,89005,Petrol,Automatic,3,1199,85.1,16.8,5,Ahmedabad,Dealer,7.58,3.79
Safari,Tata,2022,2,29180,Diesel,Automatic,0,1956,170.2,18.7,6,Bangalore,Dealer,22.61,20.35
Indica,Tata,2016,8,106416,Diesel,Manual,1,1388,72.5,18.7,5,Pune,Individual,5.97,2.63
Altroz,Tata,2023,1,8254,Petrol,Manual,1,1230,100.2,15.1,5,Chennai,Dealer,10.44,8.76
Harrier,Tata,2024,0,5386,Diesel,Automatic,2,1956,169.3,23.9,5,Mumbai,Individual,14.85,12.71
Altroz,Tata,2022,2,38736,Petrol,Manual,1,1327,92.5,18.5,5,Bangalore,Dealer,8.98,7.01
Nano,Tata,2013,11,49607,Petrol,Manual,0,659,37.6,15.0,4,Chennai,Individual,2.39,0.96
Altroz,Tata,2020,4,29402,Diesel,Manual,0,1368,105.2,21.0,5,Mumbai,Individual,10.76,8.37
Indica,Tata,2017,7,62742,CNG,Manual,3,1211,73.5,26.5,5,Delhi,Dealer,4.26,1.81
Nexon,Tata,2022,2,49818,Petrol,Automatic,0,1485,124.0,16.5,5,Delhi,Dealer,8.29,6.88
Punch,Tata,2021,3,57672,Petrol,Manual,1,1199,87.0,14.0,5,Mumbai,Individual,9.59,6.95
